Transaction-ID,Date,Location,Product_Category,Sales_Channel,Units_Sold,Unit_Price_USD,Discount_Applied_Pct,Total_Revenue_USD
TRX-11164,2025-03-08 02:42:49.553295,Seoul,Wearables,Retail Store,8,487.16,5,3702.42
TRX-10991,2025-03-08 02:42:49.553295,Busan,Wearables,Retail Store,4,378.88,15,1288.19
TRX-13580,2025-03-08 02:42:49.553295,Busan,Accessories,Retail Store,7,1270.47,10,8003.96
TRX-13071,2025-03-08 02:42:49.553295,Seoul,Laptops,Retail Store,3,1278.99,0,3836.97
TRX-12010,2025-03-08 02:42:49.553295,Busan,Laptops,Retail Store,4,434.54,0,1738.16
TRX-11987,2025-03-08 02:42:49.553295,Busan,Wearables,Authorized Reseller,6,358.09,0,2148.54
TRX-14191,2025-03-08 02:42:49.553295,Seoul,Tablets,Authorized Reseller,4,850.89,5,3233.38
TRX-10446,2025-03-08 02:42:49.553295,Daegu,Laptops,Retail Store,7,537.39,0,3761.73
TRX-10648,2025-03-08 02:42:49.553295,Incheon,Laptops,Retail Store,8,1800.71,0,14405.68
TRX-13275,2025-03-08 02:42:49.553295,Seoul,Smartphones,Authorized Reseller,9,1409.56,0,12686.04
TRX-10755,2025-03-08 02:42:49.553295,Daegu,Smartphones,Online,1,569.14,0,569.14
TRX-12070,2025-03-08 02:42:49.553295,Seoul,Smartphones,Authorized Reseller,5,582.97,0,2914.85
TRX-10848,2025-03-08 02:42:49.553295,Busan,Laptops,Retail Store,7,1395.97,5,9283.2
TRX-11028,2025-03-08 02:42:49.553295,Daegu,Accessories,Authorized Reseller,2,1905.26,0,3810.52
TRX-10677,2025-03-08 02:42:49.553295,Busan,Accessories,Retail Store,8,1258.32,10,9059.9
TRX-14323,2025-03-09 02:42:49.553295,Seoul,Accessories,Authorized Reseller,4,1915.1,10,6894.36
TRX-11823,2025-03-09 02:42:49.553295,Daejeon,Smartphones,Online,7,1744.08,0,12208.56
TRX-14758,2025-03-09 02:42:49.553295,Seoul,Wearables,Retail Store,8,1309.58,0,10476.64
TRX-12910,2025-03-09 02:42:49.553295,Busan,Smartphones,Authorized Reseller,7,1194.22,0,8359.54
TRX-10263,2025-03-09 02:42:49.553295,Seoul,Wearables,Authorized Reseller,7,1670.34,0,11692.38
TRX-13152,2025-03-09 02:42:49.553295,Seoul,Smartphones,Retail Store,3,1433.11,0,4299.33
TRX-10206,2025-03-09 02:42:49.553295,Daejeon,Accessories,Authorized Reseller,3,833.89,10,2251.5
TRX-14249,2025-03-09 02:42:49.553295,Seoul,Smartphones,Authorized Reseller,5,1149.61,5,5460.65
TRX-12173,2025-03-09 02:42:49.553295,Seoul,Smartphones,Online,3,284.77,20,683.45
